5350520.10 (Census tract) GNR=25.7,,,,,,,,,,
Topic,,Characteristics,,Note,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
Shelter costs,,Number of tenant households in non-farm; non-reserve private dwellings,NTHNFNRPD,,1475,,,...,,...
Shelter costs,,  % of tenant households in subsidized housing,PTHSH,114,1,,,...,,...
Shelter costs,,  % of tenant households spending 30% or more of household total income on shelter costs,POHS30TISC,115,51.8,,,...,,...
Shelter costs,,  Median monthly shelter costs for rented dwellings ($),MMSCRD,116,1451,,,...,,...
Shelter costs,,  Average monthly shelter costs for rented dwellings ($),AVSCRD,116,1425,,,...,,...
Income of individuals in 2010,II2010,Total income in 2010 of population aged 15 years and over,TPA15YO,117,7765,,3885,,3885,
Income of individuals in 2010,,  Without income,WOUTINC,,625,,230,,400,
Income of individuals in 2010,,  With income,WITHINC,,7140,,3655,,3485,
Income of individuals in 2010,,    Under $5;000,U5000,118,1135,,575,,560,
Income of individuals in 2010,,    $5;000 to $9;999,5_5000,,390,,155,,235,
Income of individuals in 2010,,    $10;000 to $14;999,10_14999,,585,,250,,340,
Income of individuals in 2010,,    $15;000 to $19;999,15_19999,,580,,260,,315,
Income of individuals in 2010,,    $20;000 to $29;999,20_29999,,935,,420,,515,
Income of individuals in 2010,,    $30;000 to $39;999,30_39999,,670,,310,,360,
Income of individuals in 2010,,    $40;000 to $49;999,40_49999,,640,,375,,260,
Income of individuals in 2010,,    $50;000 to $59;999,50_59999,,710,,390,,315,
Income of individuals in 2010,,    $60;000 to $79;999,60_79999,,820,,490,,325,
Income of individuals in 2010,,    $80;000 to $99;999,80_99999,,385,,235,,150,
Income of individuals in 2010,,    $100;000 and over,100NOVR,,295,,190,,100,
Income of individuals in 2010,,      $100;000 to $124;999,100_124999,,155,,80,,75,
Income of individuals in 2010,,      $125;000 and over,125000NOVR,,145,,120,,30,
Income of individuals in 2010,,  Median income ($),MI,119,29259,,35282,,24898,
Income of individuals in 2010,,  Average income ($),AI,119,37331,,41449,,33010,
Income of individuals in 2010,,After-tax income in 2010 of population 15 years and over,ATIP15NOVR,120,7765,,3885,,3885,
Income of individuals in 2010,,  Without after-tax income,WOUTATI,,630,,230,,400,
Income of individuals in 2010,,  With after-tax income,WATI,,7135,,3660,,3485,
Income of individuals in 2010,,    Under $5;000,U5000,121,1135,,575,,560,
Income of individuals in 2010,,    $5;000 to $9;999,5_5000,,385,,155,,230,
Income of individuals in 2010,,    $10;000 to $14;999,10_14999,,600,,250,,345,
Income of individuals in 2010,,    $15;000 to $19;999,15_19999,,630,,280,,350,
Income of individuals in 2010,,    $20;000 to $29;999,20_29999,,1080,,475,,610,
Income of individuals in 2010,,    $30;000 to $39;999,30_39999,,800,,450,,355,
Income of individuals in 2010,,    $40;000 to $49;999,40_49999,,985,,540,,445,
Income of individuals in 2010,,    $50;000 to $59;999,50_59999,,655,,385,,265,
Income of individuals in 2010,,    $60;000 to $79;999,60_79999,,570,,355,,215,
Income of individuals in 2010,,    $80;000 to $99;999,80_99999,,165,,75,,90,
Income of individuals in 2010,,    $100;000 and over,100NOVR,,130,,115,,15,
Income of individuals in 2010,,  Median after-tax income ($),MATI,122,27240,,31978,,23415,
Income of individuals in 2010,,  Average after-tax income ($),AATI,122,31830,,34960,,28542,
Income of individuals in 2010,,Composition of total income in 2010 of population 15 years and over (%),CTIP15YNOVR,123,100,,100,,99.9,
Income of individuals in 2010,,  Market income (%),MI,124,90.2,,92.8,,86.9,
Income of individuals in 2010,,    Employment income (%),EI,125,85.3,,88,,82,
Income of individuals in 2010,,      Wages and salaries (%),WAGESAL,126,81.7,,83.3,,79.6,
Income of individuals in 2010,,      Self-employment income (%),SELFINCOME,127,3.7,,4.7,,2.3,
Income of individuals in 2010,,    Investment income (%),INVESTINC,128,1.5,,1.6,,1.5,
Income of individuals in 2010,,    Retirement pensions; superannuation and annuities (%),RPSA,129,2.5,,2.4,,2.7,
Income of individuals in 2010,,    Other money income (%),OMI,130,0.8,,0.8,,0.8,
Income of individuals in 2010,,  Government transfer payments (%),GTP,131,9.8,,7.2,,13.2,
Income of individuals in 2010,,    Canada/Quebec Pension Plan benefits (%),CQUPPB,132,1.4,,1,,1.8,
Income of individuals in 2010,,    Old Age Security pensions and Guaranteed Income Supplement (%),OASPGIS,133,1.9,,1.2,,2.8,
Income of individuals in 2010,,    Employment Insurance benefits (%),EIB,134,1.7,,1.4,,2,
Income of individuals in 2010,,    Child benefits (%),CB,135,1.6,,0.1,,3.7,
Income of individuals in 2010,,    Other income from government sources (%),OIGS,136,3.2,,3.5,,2.8,
Income of individuals in 2010,,  Income taxes paid as a % of total income,ITPPTI,137,14.8,,15.7,,13.6,
Income of individuals in 2010,,  After-tax income as a % of total income,ATIPTI,138,85.2,,84.3,,86.3,
Income of individuals in 2010,,Net capital gains or losses as a % of total income,NETCAPGLTI,139,0.2,,0.5,,-0.1,
Income of individuals in 2010,,Population aged 15 years and over who worked full year; full time and with employment income in 2010,PA15WFYFTEI,140,2970,,1670,,1305,
Income of individuals in 2010,,  Median employment income in 2010 ($),MEI,,50337,,52839,,50026,
Income of individuals in 2010,,  Average employment income in 2010 ($),AEI,,54509,,56623,,51795,
Income of individuals in 2010,,Family income in 2010 of economic families,FIEF,141,2390,,,...,,...
Income of individuals in 2010,,  Median family income ($),MFI,,63855,,,...,,...
Income of individuals in 2010,,  Average family income ($),AFI,,71800,,,...,,...
Income of individuals in 2010,,  Median after-tax family income ($),MATFI,,55794,,,...,,...
Income of individuals in 2010,,  Average after-tax family income ($),AATFI,,62336,,,...,,...
Income of individuals in 2010,,  Average family size,AFS,,3.1,,,...,,...
Income of individuals in 2010,,  Couple-only economic families,COEF,142,840,,,...,,...
Income of individuals in 2010,,    Median family income ($),MFI,,67749,,,...,,...
Income of individuals in 2010,,    Average family income ($),AFI,,71171,,,...,,...
Income of individuals in 2010,,    Median after-tax family income ($),MATFI,,57697,,,...,,...
Income of individuals in 2010,,    Average after-tax family income ($),AATFI,,60612,,,...,,...
Income of individuals in 2010,,    Average family size,AFS,,2,,,...,,...
Income of individuals in 2010,,  Couple-with-children economic families,CWCEF,143,1165,,,...,,...
Income of individuals in 2010,,    Median family income ($),MFI,,63234,,,...,,...
Income of individuals in 2010,,    Average family income ($),AFI,,73041,,,...,,...
Income of individuals in 2010,,    Median after-tax family income ($),MATFI,,55433,,,...,,...
Income of individuals in 2010,,    Average after-tax family income ($),AATFI,,63957,,,...,,...
Income of individuals in 2010,,    Average family size,AFS,,4,,,...,,...
Income of individuals in 2010,,  Lone-parent economic families,LPEF,144,295,,,...,,...
Income of individuals in 2010,,    Median family income ($),MFI,,55612,,,...,,...
Income of individuals in 2010,,    Average family income ($),AFI,,68378,,,...,,...
Income of individuals in 2010,,    Median after-tax family income ($),MATFI,,50748,,,...,,...
Income of individuals in 2010,,    Average after-tax family income ($),AATFI,,61097,,,...,,...
Income of individuals in 2010,,    Average family size,AFS,,2.6,,,...,,...
Income of individuals in 2010,,Income in 2010 of population aged 15 years and over not in economic families,IPA15OVRNEF,145,1885,,1045,,845,
Income of individuals in 2010,,  Median total income ($),MTI,146,49097,,50287,,43206,
Income of individuals in 2010,,  Average total income ($),ATI,146,50175,,53597,,45933,
Income of individuals in 2010,,  Median after-tax income ($),MATI,147,42910,,43527,,38344,
Income of individuals in 2010,,  Average after-tax income ($),AATI,147,41317,,43880,,38139,
Income of individuals in 2010,,Total population by decile of adjusted after-tax family income,TPDATFI,148,9200,,4635,,4565,
Income of individuals in 2010,,  In bottom half of the Canadian distribution,BHCD,,5235,,2675,,2555,
Income of individuals in 2010,,    In bottom decile,BOTD,,1410,,730,,680,
Income of individuals in 2010,,    In second decile,2NDD,,1530,,830,,700,
Income of individuals in 2010,,    In third decile,3RDD,,805,,390,,415,
Income of individuals in 2010,,    In fourth decile,4THD,,720,,355,,360,
Income of individuals in 2010,,    In fifth decile,5THD,,765,,365,,400,
Income of individuals in 2010,,  In top half of the Canadian distribution,THALFCD,,3965,,1955,,2010,
Income of individuals in 2010,,    In sixth decile,6THD,,720,,365,,355,
Income of individuals in 2010,,    In seventh decile,7THD,,910,,415,,490,
Income of individuals in 2010,,    In eighth decile,8THD,,765,,385,,380,
Income of individuals in 2010,,    In ninth decile,9THD,,1020,,540,,475,
Income of individuals in 2010,,    In top decile,TOPD,,560,,255,,300,
Income of households in 2010,IH2010,Household total income in 2010 of private households,HTIPH,149,4065,,,...,,...
Income of households in 2010,,  Under $5;000,U5000,,320,,,...,,...
Income of households in 2010,,  $5;000 to $9;999,5_5000,,40,,,...,,...
Income of households in 2010,,  $10;000 to $14;999,10_14999,,70,,,...,,...
Income of households in 2010,,  $15;000 to $19;999,15_19999,,105,,,...,,...
Income of households in 2010,,  $20;000 to $29;999,20_29999,,390,,,...,,...
Income of households in 2010,,  $30;000 to $39;999,30_39999,,370,,,...,,...
Income of households in 2010,,  $40;000 to $49;999,40_49999,,385,,,...,,...
Income of households in 2010,,  $50;000 to $59;999,50_59999,,445,,,...,,...
Income of households in 2010,,  $60;000 to $79;999,60_79999,,770,,,...,,...
Income of households in 2010,,  $80;000 to $99;999,80_99999,,455,,,...,,...
Income of households in 2010,,  $100;000 to $124;999,100_124999,,265,,,...,,...
Income of households in 2010,,  $125;000 to $149;999,125_149999,,245,,,...,,...
Income of households in 2010,,  $150;000 and over,150000OVR,,220,,,...,,...
Income of households in 2010,,After-tax income of households in 2010 of private households+C919,ATIHPH,150,4065,,,...,,...
Income of households in 2010,,  Under $5;000,U5000,,320,,,...,,...
Income of households in 2010,,  $5;000 to $9;999,5_5000,,35,,,...,,...
Income of households in 2010,,  $10;000 to $14;999,10_14999,,70,,,...,,...
Income of households in 2010,,  $15;000 to $19;999,15_19999,,110,,,...,,...
Income of households in 2010,,  $20;000 to $29;999,20_29999,,405,,,...,,...
Income of households in 2010,,  $30;000 to $39;999,30_39999,,465,,,...,,...
Income of households in 2010,,  $40;000 to $49;999,40_49999,,650,,,...,,...
Income of households in 2010,,  $50;000 to $59;999,50_59999,,505,,,...,,...
Income of households in 2010,,  $60;000 to $79;999,60_79999,,660,,,...,,...
Income of households in 2010,,  $80;000 to $99;999,80_99999,,295,,,...,,...
Income of households in 2010,,  $100;000 and over,100NOVR,,550,,,...,,...
Income of households in 2010,,    $100;000 to $124;999,100_124999,,360,,,...,,...
Income of households in 2010,,    $125;000 and over,125000OVR,,190,,,...,,...
Income of households in 2010,,Household income in 2010 of private households,HIPH,151,4065,,,...,,...
Income of households in 2010,,  Median household total income ($),MHTI,,58513,,,...,,...
Income of households in 2010,,  Average household total income ($),AHTI,,65604,,,...,,...
Income of households in 2010,,  Median after-tax household income ($),MTHI,,49706,,,...,,...
Income of households in 2010,,  Average after-tax household income ($),ATHI,,55914,,,...,,...
Income of households in 2010,,  One-person private households,ONEPPH,152,1505,,,...,,...
Income of households in 2010,,    Median household total income ($),MHTI,,53829,,,...,,...
Income of households in 2010,,    Average household total income ($),AHTI,,55336,,,...,,...
Income of households in 2010,,    Median after-tax household income ($),MTHI,,45044,,,...,,...
Income of households in 2010,,    Average after-tax household income ($),ATHI,,45343,,,...,,...
Income of households in 2010,,  Two-or-more-persons private households,TWOPPH,152,2560,,,...,,...
Income of households in 2010,,    Median household total income ($),MHTI,,64357,,,...,,...
Income of households in 2010,,    Average household total income ($),AHTI,,71640,,,...,,...
Income of households in 2010,,    Median after-tax household income ($),MTHI,,56244,,,...,,...
Income of households in 2010,,    Average after-tax household income ($),ATHI,,62127,,,...,,...
Income of individuals in 2010,,Population in private households for income status,PPHIS,153,9200,,4635,,4565,
Income of individuals in 2010,,  Less than 18 years,LT18YR,,1680,,895,,785,
Income of individuals in 2010,,    Less than 6 years,LT6YR,,680,,325,,350,
Income of individuals in 2010,,  18 to 64 years,18TO64Y,,6835,,3470,,3365,
Income of individuals in 2010,,  65 years and over,65YRO,,680,,265,,415,
Income of individuals in 2010,,In low income in 2010 based on after-tax low-income measure (LIM-AT),LILIMAT,,2250,,1185,,1065,
Income of individuals in 2010,,  Less than 18 years,LT18YR,,585,,310,,275,
Income of individuals in 2010,,    Less than 6 years,LT6YR,,215,,100,,110,
Income of individuals in 2010,,  18 to 64 years,18TO64Y,,1555,,840,,715,
Income of individuals in 2010,,  65 years and over,65YRO,,110,,35,,80,
Income of individuals in 2010,,Prevalence of low income in 2010 based on after-tax low-income measure (%),PLILIMAT,,24.5,,25.6,,23.3,
Income of individuals in 2010,,  Less than 18 years (%),LT18YR,,34.8,,34.6,,35,
Income of individuals in 2010,,    Less than 6 years (%),LT6YR,,31.6,,30.8,,31.4,
Income of individuals in 2010,,  18 to 64 years (%),18TO64YP,,22.8,,24.2,,21.2,
Income of individuals in 2010,,  65 years and over (%),65YRO,,16.2,,13.2,,19.3,
,,,,,,,,,,
Symbols:,,,,,,,,,,
..,,not available for a specific reference period,,,,,,,,
...,,not applicable,,,,,,,,
x,,suppressed to meet the confidentiality requirements of the Statistics Act,,,,,,,,
,,,,,,,,,,
Notes:,,,,,,,,,,
1,,Citizenship refers to the legal citizenship status of a person. Citizenship can be by birth or naturalization. A person may have more than one citizenship. A person may be stateless that is they may have no citizenship.,,,,,,,,
2,,Includes persons who are stateless.,,,,,,,,
3,,Period of immigration refers to the period in which the immigrant first obtained his or her landed immigrant/permanent resident status. A landed immigrant/permanent resident refers to a person who has been granted the right to live permanently in Canada by immigration authorities.,,,,,,,,
4,,Non-immigrant refers to a person who is a Canadian citizen by birth.,,,,,,,,
5,,Immigrant refers to a person who is or has ever been a landed immigrant/permanent resident. This person has been granted the right to live in Canada permanently by immigration authorities. Some immigrants have resided in Canada for a number of years while others have arrived recently. Some immigrants are Canadian citizens while others are not. Most immigrants are born outside Canada but a small number are born in Canada. In the 2011 National Household Survey 'Immigrants' includes immigrants who landed in Canada prior to May 10 2011.,,,,,,,,
6,,Includes immigrants who landed in Canada prior to May 10 2011.,,,,,,,,
7,,Non-permanent resident refers to a person from another country who has a work or study permit or who is a refugee claimant and any non-Canadian-born family member living in Canada with them.,,,,,,,,
8,,Age at immigration refers to the age at which an immigrant first obtained landed immigrant/permanent resident status. Immigrant refers to a person who is or has ever been a landed immigrant/permanent resident. This person has been granted the right to live permanently in Canada by immigration authorities.,,,,,,,,
9,,The places of birth selected are the most frequently reported by immigrants at the Canada level.,,,,,,,,
10,,Non-immigrant refers to a person who is a Canadian citizen by birth.,,,,,,,,
11,,Immigrant refers to a person who is or has ever been a landed immigrant/permanent resident. This person has been granted the right to live in Canada permanently by immigration authorities. Some immigrants have resided in Canada for a number of years while others have arrived recently. Some immigrants are Canadian citizens while others are not. Most immigrants are born outside Canada but a small number are born in Canada. In the 2011 National Household Survey 'Immigrants' includes immigrants who landed in Canada prior to May 10 2011.,,,,,,,,
12,,The official name of United Kingdom is United Kingdom of Great Britain and Northern Ireland. United Kingdom includes Scotland Wales England and Northern Ireland (excludes Isle of Man the Channel Islands and British Overseas Territories).,,,,,,,,
13,,China excludes Hong Kong Special Administrative Region and Macao Special Administrative Region.,,,,,,,,
14,,The official name of Viet Nam is Socialist Republic of Viet Nam.,,,,,,,,
15,,The official name of Iran is Islamic Republic of Iran.,,,,,,,,
16,,The official name of South Korea is Republic of Korea.,,,,,,,,
17,,The category 'Oceania and other' includes places of birth in Oceania and responses not included elsewhere such as 'born at sea.',,,,,,,,
18,,The category 'Other places of birth' includes other places of birth in Oceania and responses not included elsewhere such as 'born at sea.',,,,,,,,
19,,Non-permanent resident refers to a person from another country who has a work or study permit or who is a refugee claimant and any non-Canadian-born family member living in Canada with them.,,,,,,,,
20,,Recent immigrants are immigrants who landed in Canada between January 1 2006 and  May 10 2011.  Immigrant refers to a person who is or has ever been a landed immigrant/permanent resident. This person has been granted the right to live in Canada permanently by immigration authorities. Some immigrants have resided in Canada for a number of years while others have arrived recently. Some immigrants are Canadian citizens while others are not. Most immigrants are born outside Canada but a small number are born in Canada.  The places of birth selected are the most frequently reported by recent immigrants at the Canada level.,,,,,,,,
21,,The official name of Venezuela is Bolivarian Republic of Venezuela.,,,,,,,,
22,,The official name of Moldova is Republic of Moldova.,,,,,,,,
23,,The official name of Syria is Syrian Arab Republic.,,,,,,,,
24,,Generation status refers to whether or not the person or the person's parents were born in Canada. It identifies persons as being first generation second generation or third generation or more.,,,,,,,,
25,,'First generation' includes persons who were born outside Canada. For the most part these are people who are now or have ever been immigrants to Canada.,,,,,,,,
26,,'Second generation' includes persons who were born in Canada and had at least one parent born outside Canada. For the most part these are the children of immigrants.,,,,,,,,
27,,'Third generation or more' includes persons who were born in Canada with both parents born in Canada.,,,,,,,,
28,,The Employment Equity Act defines visible minorities as 'persons other than Aboriginal peoples who are non-Caucasian in race or non-white in colour.',,,,,,,,
29,,For example 'East Indian' 'Pakistani' 'Sri Lankan' etc.,,,,,,,,
30,,For example 'Vietnamese' 'Cambodian' 'Malaysian' 'Laotian' etc.,,,,,,,,
31,,For example 'Iranian' 'Afghan' etc.,,,,,,,,
32,,The abbreviation 'n.i.e.' means 'not included elsewhere.' Includes respondents who reported a write-in response such as 'Guyanese' 'West Indian' 'Tibetan' 'Polynesian' 'Pacific Islander' etc.,,,,,,,,
33,,Includes respondents who reported more than one visible minority group by checking two or more mark-in circles e.g. 'Black' and 'South Asian.',,,,,,,,
34,,Includes respondents who reported 'Yes' to the Aboriginal identity question (Question 18) as well as respondents who were not considered to be members of a visible minority group.,,,,,,,,
35,,This is a total population estimate.  The sum of the ethnic groups in this table is greater than the total population estimate because a person may report more than one ethnic origin in the NHS.,,,,,,,,
36,,Includes general responses indicating North American origins (e.g. 'North American') as well as more specific responses indicating North American origins that have not been included elsewhere (e.g. 'Maritimer' 'Manitoban').,,,,,,,,
37,,Includes general responses indicating British Isles origins (e.g. 'British' 'United Kingdom') as well as more specific responses indicating British Isles origins that have not been included elsewhere (e.g. 'Celtic').,,,,,,,,
38,,Includes general responses indicating Western European origins (e.g. 'Western European') as well as more specific responses indicating Western European origins that have not been included elsewhere (e.g. 'Liechtensteiner').,,,,,,,,
39,,Includes general responses indicating Northern European origins (e.g. 'Northern European') as well as more specific responses indicating Northern European origins that have not been included elsewhere (e.g. 'Faroese' 'Scandinavian').,,,,,,,,
40,,Includes general responses indicating Eastern European origins (e.g. 'Eastern European') as well as more specific responses indicating Eastern European origins that have not been included elsewhere (e.g. 'Baltic').,,,,,,,,
41,,Includes general responses indicating Southern European origins (e.g. 'Southern European') as well as more specific responses indicating Southern European origins that have not been included elsewhere (e.g. 'Gibraltarian').,,,,,,,,
42,,Includes general responses indicating Other European origins (e.g. 'European') as well as more specific responses indicating European origins that have not been included elsewhere (e.g. 'Central European').,,,,,,,,
43,,Includes general responses indicating Caribbean origins (e.g. 'Caribbean') as well as more specific responses indicating Caribbean origins that have not been included elsewhere (e.g. 'Guadelupian' 'Aruban').,,,,,,,,
44,,Includes general responses indicating Latin Central or South American origins (e.g. 'South American') as well as more specific responses indicating Latin Central or South American origins that have not been included elsewhere (e.g. 'Surinamese').,,,,,,,,
45,,Includes general responses indicating Central or West African origins (e.g. 'West African') as well as more specific responses indicating Central or West African origins that have not been included elsewhere (e.g. 'Ewe' 'Wolof').,,,,,,,,
46,,Includes general responses indicating North African origins (e.g. 'North African') as well as more specific responses indicating North African origins that have not been included elsewhere (e.g. 'Maghreb').,,,,,,,,
47,,Includes general responses indicating Southern or East African origins (e.g. 'East African') as well as more specific responses indicating Southern or East African origins that have not been included elsewhere (e.g. 'Hutu' 'Shona').,,,,,,,,
48,,Some respondents may choose to provide very specific ethnic origins in the National Household Survey (NHS) while other respondents may choose to give more general responses. This means that two respondents with the same ethnic ancestry could have different response patterns and thus could be counted as having different ethnic origins. For example one respondent may report 'East Indian' ethnic origin while another respondent with a similar ancestral background may report 'Punjabi' or 'South Asian' origins; one respondent may report 'Black' while another similar respondent may report 'Ghanaian' or 'African.' As a result ethnic origin data are very fluid and counts for certain origins such as 'East Indian' and 'Black' may seem lower than initially expected. Users who wish to obtain broader response counts may wish to combine data for one or more ethnic origins together or use counts for ethnic categories such as 'South Asian origins' or 'African origins.' (Please note however that 'African origins' should not be considered equivalent to the 'Black' population group or visible minority status as there are persons reporting African origins who report a population group or visible minority status other than 'Black.' Conversely many people report a population group or visible minority status of 'Black' and do not report having 'African' origins. For information on population group and visible minority population in the 2011 NHS refer to the appropriate definitions in this publication.),,,,,,,,
49,,Includes general responses indicating Other African origins (e.g. 'African') as well as more specific responses indicating Other African origins that have not been included elsewhere (e.g. 'Saharan').,,,,,,,,
50,,Includes general responses indicating West Asian Central Asian and Middle Eastern origins (e.g. 'West Asian' 'Middle Eastern') as well as more specific responses indicating West Asian Central Asian and Middle Eastern origins that have not been included elsewhere (e.g. 'Baloch' 'Circassian').,,,,,,,,
51,,Includes general responses indicating South Asian origins (e.g. 'South Asian') as well as more specific responses indicating South Asian origins that have not been included elsewhere (e.g. 'Bhutanese').,,,,,,,,
52,,Includes general responses indicating East and Southeast Asian origins (e.g. 'Southeast Asian') as well as more specific responses indicating East and Southeast Asian origins that have not been included elsewhere (e.g. 'Bruneian' 'Karen').,,,,,,,,
53,,Includes general responses indicating Other Asian origins (e.g. 'Asian') as well as more specific responses indicating Other Asian origins that have not been included elsewhere (e.g. 'Eurasian').,,,,,,,,
54,,Includes general responses indicating Pacific Islands origins (e.g. 'Pacific Islander') as well as more specific responses indicating Pacific Islands origins that have not been included elsewhere (e.g. 'Tahitian').,,,,,,,,
55,,Religion refers to the person's self-identification as having a connection or affiliation with any religious denomination group body sect cult or other religiously defined community or system of belief. Religion is not limited to formal membership in a religious organization or group. Persons without a religious connection or affiliation can self-identify as atheist agnostic or humanist or can provide another applicable response.,,,,,,,,
56,,'Aboriginal identity' includes persons who reported being an Aboriginal person that is First Nations (North American Indian) Métis or Inuk (Inuit) and/or those who reported Registered or Treaty Indian status that is registered under the Indian Act of Canada and/or those who reported membership in a First Nation or Indian band. Aboriginal peoples of Canada are defined in the Constitution Act 1982 section 35 (2) as including the Indian Inuit and Métis peoples of Canada.,,,,,,,,
57,,Users should be aware that the estimates associated with this variable are more affected than most by the incomplete enumeration of certain Indian reserves and Indian settlements in the National Household Survey (NHS). In 2011 there were a total of 36 Indian reserves and Indian settlements that were 'incompletely enumerated' in the NHS. For these reserves or settlements NHS enumeration was either not permitted or was interrupted before it could be completed or was not possible because of natural events (specifically forest fires in Northern Ontario). For additional information please refer to the Aboriginal Peoples Reference Guide National Household Survey (NHS) 2011.,,,,,,,,
58,,'Multiple Aboriginal identities' includes persons who reported being any two or all three of the following: First Nations (North American Indian) Métis or Inuk (Inuit).,,,,,,,,
59,,'Aboriginal identities not included elsewhere' includes persons who did not report being First Nations (North American Indian) Métis or Inuk (Inuit) but who did report Registered or Treaty Indian status and/or membership in a First Nation or Indian band.,,,,,,,,
60,,Registered or Treaty Indian status refers to whether or not a person reported being a Registered or Treaty Indian.' Registered or Treaty Indian' includes persons who reported being a Registered or Treaty Indian in Question 20. Registered Indians are persons who are registered under the Indian Act of Canada. Treaty Indians are persons who belong to a First Nation or Indian band that signed a treaty with the Crown. Registered or Treaty Indians are sometimes also called Status Indians.,,,,,,,,
61,,This is a total population estimate. The sum of the ancestries in this table is greater than the total population estimate because a person may report more than one ancestry (ethnic origin) in the National Household Survey.,,,,,,,,
62,,'Aboriginal ancestry' includes persons who reported one or more than one of First Nations (North American Indian) Métis or Inuit ancestry in Question 17 either with or without also reporting a non-Aboriginal ancestry.  The sum of the categories 'First Nations (North American Indian) ancestry' 'Métis ancestry' and 'Inuit ancestry' is thus greater than the sum of the total for 'Aboriginal ancestry' because persons who reported more than one Aboriginal ancestry are included in the response category for each Aboriginal ancestry they reported. All respondents with Aboriginal ancestry are counted in at least one of the categories 'First Nations (North American Indian) ancestry' 'Métis ancestry' and 'Inuit ancestry' and also in the category 'Aboriginal ancestry.' Aboriginal peoples of Canada are defined in the Constitution Act 1982 section 35 (2) as including the Indian Inuit and Métis peoples of Canada. Ancestry refers to the ethnic or cultural origins of the respondent's ancestors an ancestor being usually more distant than a grandparent. A person can have more than one ethnic or cultural origin.,,,,,,,,
63,,'Non-Aboriginal ancestry only' includes persons who did not report First Nations (North American Indian) Métis or Inuit ancestry in Question 17.,,,,,,,,
64,,Refers to languages other than English or French in which the respondent can conduct a conversation. The category 'Non-official languages spoken' represents the sum of single language responses and multiple language responses received in the National Household Survey. Hence this total is greater than the total population.,,,,,,,,
65,,Cree languages include the following categories: Cree not otherwise specified (which refers to those who reported 'Cree') Swampy Cree Plains Cree Woods Cree and a category labelled 'Cree not included elsewhere' (which includes Moose Cree Northern East Cree and Southern East Cree).,,,,,,,,
66,,This is a subtotal of all Aboriginal languages collected on May 10 2011 that are not displayed separately here.,,,,,,,,
67,,This is a subtotal of all non-Aboriginal languages other than English or French collected on May 10 2011 that are not displayed separately here.,,,,,,,,
68,,Refers to the status of a person with regard to the place of residence on the reference day May 10 2011 in relation to the place of residence on the same date one year earlier. Persons who have not moved are referred to as non-movers and persons who have moved from one residence to another are referred to as movers. Movers include non-migrants and migrants. Non-migrants are persons who did move but remained in the same city town township village or Indian reserve. Migrants include internal migrants who moved to a different city town township village or Indian reserve within Canada. External migrants include persons who lived outside Canada at the earlier reference date.,,,,,,,,
69,,Refers to the status of a person with regard to the place of residence on the reference day May 10 2011 in relation to the place of residence on the same date five years earlier. Persons who have not moved are referred to as non-movers and persons who have moved from one residence to another are referred to as movers. Movers include non-migrants and migrants. Non-migrants are persons who did move but remained in the same city town township village or Indian reserve. Migrants include internal migrants who moved to a different city town township village or Indian reserve within Canada. External migrants include persons who lived outside Canada at the earlier reference date.,,,,,,,,
70,,'Highest certificate diploma or degree' refers to the highest certificate diploma or degree completed based on a hierarchy which is generally related to the amount of time spent 'in-class.' For postsecondary completers a university education is considered to be a higher level of schooling than a college education while a college education is considered to be a higher level of education than in the trades. Although some trades requirements may take as long or longer to complete than a given college or university program the majority of time is spent in on-the-job paid training and less time is spent in the classroom. For further definitions refer to the National Household Survey Dictionary Catalogue no. 99-000-X. For any comments on collection dissemination or data quality for this variable refer to the Education Reference Guide National Household Survey Catalogue no. 99-012-X2011006.,,,,,,,,
71,,'High school diploma or equivalent' includes persons who have graduated from a secondary school or equivalent. It excludes persons with a postsecondary certificate diploma or degree.,,,,,,,,
72,,'Postsecondary certificate diploma or degree' includes 'apprenticeship or trades certificates or diplomas' 'college CEGEP or other non-university certificates or diplomas' and university certificates diplomas and degrees.,,,,,,,,
73,,'Apprenticeship or trades certificate or diploma' includes Registered Apprenticeship certificates (including Certificate of Qualification Journeyperson's designation) and other trades certificates or diplomas such as pre-employment or vocational certificates and diplomas from brief trade programs completed at community colleges institutes of technology vocational centres and similar institutions.,,,,,,,,
74,,Comparisons with other data sources suggest that the category 'University certificate or diploma below the bachelor's level' was over-reported in the NHS. This category likely includes some responses that are actually college certificates or diplomas bachelor's degrees or other types of education (e.g. university transfer programs bachelor's programs completed in other countries incomplete bachelor's programs non-university professional designations). We recommend users interpret the results for the 'University certificate or diploma below the bachelor's level' category with caution.,,,,,,,,
75,,'University certificate diploma or degree above bachelor level' includes the categories 'University certificate or diploma above bachelor level' 'Degree in medicine dentistry veterinary medicine or optometry' 'Master's degree' and 'Earned doctorate.',,,,,,,,
76,,'Major field of study' is defined as the main discipline or subject of learning. It is collected for the highest certificate diploma or degree above the high school or secondary school level and classified according to the Classification of Instructional Programs (CIP) Canada 2011. This variable shows the 'primary groupings' a CIP variant. For more information on the CIP classification see the Classification of Instructional Programs Canada 2011 Catalogue no. 12-590-X available from: www.statcan.gc.ca/concepts/classification-eng.htm. For any comments on collection dissemination or data quality for this variable refer to the Education Reference Guide National Household Survey Catalogue no. 99-012-X2011006.,,,,,,,,
